cve_id,published_date,description,cvss_base_score,vendor,product_name,version_start,version_end,version_note,cisa_kev,first_epss,reference_url,source_snapshot_date
CVE-2022-1391,2022-12-24,Cross-site scripting (XSS) and CSRF in Core Banking Framework web interface allows attacker to hijack authenticated analyst sessions,4.0,FinTech Systems,Core Banking Framework,4.1.0,4.3.0,,False,0.70615,https://nvd.nist.gov/vuln/detail/CVE-2022-1391,2025-01-15
CVE-2026-8027,2026-01-25,Denial of service vulnerability in Web Application Firewall connection pool causes resource exhaustion and service freeze,5.4,SecNet,Web Application Firewall,,,Requires manual verification of active rule engine signatures,False,0.03617,https://nvd.nist.gov/vuln/detail/CVE-2026-8027,2025-01-15
CVE-2023-2816,2023-02-26,Cross-site scripting (XSS) and CSRF in Web Application Firewall web interface allows attacker to hijack authenticated analyst sessions,4.9,SecNet,Web Application Firewall,3.0.0,3.1.0,,False,0.0423,https://nvd.nist.gov/vuln/detail/CVE-2023-2816,2025-01-15
CVE-2022-6917,2022-03-27,Improper certificate validation in Embedded IoT Gateway TLS transport handler allows man-in-the-middle data interception,4.6,IoT Systems,Embedded IoT Gateway,1.7.0,1.8.5,,False,0.0125,https://nvd.nist.gov/vuln/detail/CVE-2022-6917,2025-01-15
CVE-2024-3255,2024-04-28,Denial of service vulnerability in Core Banking Framework connection pool causes resource exhaustion and service freeze,5.1,FinTech Systems,Core Banking Framework,4.3.0,4.8.0,,False,0.00492,https://nvd.nist.gov/vuln/detail/CVE-2024-3255,2025-01-15
CVE-2022-3961,2022-05-01,Information disclosure in Embedded IoT Gateway API endpoint leaks sensitive cryptographic keys and internal session tokens,5.4,IoT Systems,Embedded IoT Gateway,0.8.0,1.6.0,,False,0.01808,https://nvd.nist.gov/vuln/detail/CVE-2022-3961,2025-01-15
CVE-2022-3967,2022-06-02,Request smuggling and cache poisoning in Core Banking Framework HTTP request pipeline allows session hijacking,6.9,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.02811,https://nvd.nist.gov/vuln/detail/CVE-2022-3967,2025-01-15
CVE-2022-3143,2022-07-03,Denial of service vulnerability in Identity Provider SaaS connection pool causes resource exhaustion and service freeze,6.3,AuthCorp,Identity Provider SaaS,,,Vendor advisory requires manual verification for custom IdP integrations,False,0.03057,https://nvd.nist.gov/vuln/detail/CVE-2022-3143,2025-01-15
CVE-2025-1728,2025-08-04,Information disclosure in Enterprise Router OS API endpoint leaks sensitive cryptographic keys and internal session tokens,5.4,NetRoute,Enterprise Router OS,12.0,12.5,,False,0.01267,https://nvd.nist.gov/vuln/detail/CVE-2025-1728,2025-01-15
CVE-2023-1466,2023-09-05,Request smuggling and cache poisoning in Web Application Firewall HTTP request pipeline allows session hijacking,5.1,SecNet,Web Application Firewall,2.8.0,3.0.5,,False,0.04489,https://nvd.nist.gov/vuln/detail/CVE-2023-1466,2025-01-15
CVE-2025-1717,2025-10-06,Denial of service vulnerability in Identity Provider SaaS connection pool causes resource exhaustion and service freeze,7.1,AuthCorp,Identity Provider SaaS,1.0.0,2.4.5,,False,0.00605,https://nvd.nist.gov/vuln/detail/CVE-2025-1717,2025-01-15
CVE-2025-5380,2025-11-07,Remote code execution in Identity Provider SaaS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.2,AuthCorp,Identity Provider SaaS,1.5.0,2.3.0,,False,0.00896,https://nvd.nist.gov/vuln/detail/CVE-2025-5380,2025-01-15
CVE-2022-9755,2022-12-08,SQL injection flaw in Enterprise Router OS backend parser allows unauthorized read and write access to sensitive database tables,8.3,NetRoute,Enterprise Router OS,12.4,13.0,,False,0.04201,https://nvd.nist.gov/vuln/detail/CVE-2022-9755,2025-01-15
CVE-2024-5496,2024-01-09,Remote code execution in Web Application Firewall allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.8,SecNet,Web Application Firewall,,,Requires manual verification of active rule engine signatures,False,0.03694,https://nvd.nist.gov/vuln/detail/CVE-2024-5496,2025-01-15
CVE-2022-8996,2022-02-10,Privilege escalation in Enterprise Router OS daemon allows low-privilege attacker to obtain elevated system administrator permissions,7.7,NetRoute,Enterprise Router OS,12.0,12.5,,False,0.00814,https://nvd.nist.gov/vuln/detail/CVE-2022-8996,2025-01-15
CVE-2024-7801,2024-03-11,Request smuggling and cache poisoning in Enterprise Router OS HTTP request pipeline allows session hijacking,6.2,NetRoute,Enterprise Router OS,12.1,12.3,,False,0.02767,https://nvd.nist.gov/vuln/detail/CVE-2024-7801,2025-01-15
CVE-2025-9666,2025-04-12,Cross-site scripting (XSS) and CSRF in Cloud Database Engine web interface allows attacker to hijack authenticated analyst sessions,4.5,CloudData,Cloud Database Engine,4.0.0,5.0.0,,False,0.37935,https://nvd.nist.gov/vuln/detail/CVE-2025-9666,2025-01-15
CVE-2026-5887,2026-05-13,Information disclosure in Identity Provider SaaS API endpoint leaks sensitive cryptographic keys and internal session tokens,6.1,AuthCorp,Identity Provider SaaS,1.5.0,2.3.0,,False,0.04827,https://nvd.nist.gov/vuln/detail/CVE-2026-5887,2025-01-15
CVE-2024-1225,2024-06-14,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,5.1,CloudData,Cloud Database Engine,5.2.0,5.5.0,,True,0.80396,https://nvd.nist.gov/vuln/detail/CVE-2024-1225,2025-01-15
CVE-2025-2484,2025-07-15,Improper certificate validation in Core Banking Framework TLS transport handler allows man-in-the-middle data interception,4.8,FinTech Systems,Core Banking Framework,,,Affects builds prior to patch 4.2.2 unless Q4 security hotfix applied,False,0.0086,https://nvd.nist.gov/vuln/detail/CVE-2025-2484,2025-01-15
CVE-2024-3427,2024-08-16,Privilege escalation in Core Banking Framework daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.9,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.01826,https://nvd.nist.gov/vuln/detail/CVE-2024-3427,2025-01-15
CVE-2026-4440,2026-09-17,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,6.4,CloudData,Cloud Database Engine,5.1.0,5.1.5,,False,0.01916,https://nvd.nist.gov/vuln/detail/CVE-2026-4440,2025-01-15
CVE-2025-5869,2025-10-18,Denial of service vulnerability in Core Banking Framework connection pool causes resource exhaustion and service freeze,5.8,FinTech Systems,Core Banking Framework,3.5.0,4.2.2,,False,0.01199,https://nvd.nist.gov/vuln/detail/CVE-2025-5869,2025-01-15
CVE-2024-9808,2024-11-19,Information disclosure in Cloud Database Engine API endpoint leaks sensitive cryptographic keys and internal session tokens,7.3,CloudData,Cloud Database Engine,3.0.0,4.9.0,,False,0.00629,https://nvd.nist.gov/vuln/detail/CVE-2024-9808,2025-01-15
CVE-2022-5555,2022-12-20,SQL injection flaw in Identity Provider SaaS backend parser allows unauthorized read and write access to sensitive database tables,7.8,AuthCorp,Identity Provider SaaS,2.6.0,3.0.0,,False,0.83994,https://nvd.nist.gov/vuln/detail/CVE-2022-5555,2025-01-15
CVE-2023-8455,2023-01-21,Denial of service vulnerability in Enterprise Router OS connection pool causes resource exhaustion and service freeze,7.2,NetRoute,Enterprise Router OS,,,Manual inspection required for BGP routing daemon sub-module,False,0.00801,https://nvd.nist.gov/vuln/detail/CVE-2023-8455,2025-01-15
CVE-2023-1197,2023-02-22,Information disclosure in Core Banking Framework API endpoint leaks sensitive cryptographic keys and internal session tokens,5.5,FinTech Systems,Core Banking Framework,,,Affects builds prior to patch 4.2.2 unless Q4 security hotfix applied,False,0.68752,https://nvd.nist.gov/vuln/detail/CVE-2023-1197,2025-01-15
CVE-2025-7420,2025-03-23,Remote code execution in Core Banking Framework allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.3,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.00598,https://nvd.nist.gov/vuln/detail/CVE-2025-7420,2025-01-15
CVE-2026-1412,2026-04-24,Cross-site scripting (XSS) and CSRF in Core Banking Framework web interface allows attacker to hijack authenticated analyst sessions,4.8,FinTech Systems,Core Banking Framework,4.1.0,4.3.0,,False,0.00792,https://nvd.nist.gov/vuln/detail/CVE-2026-1412,2025-01-15
CVE-2024-6618,2024-05-25,Privilege escalation in Embedded IoT Gateway daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.3,IoT Systems,Embedded IoT Gateway,0.8.0,1.6.0,,False,0.03485,https://nvd.nist.gov/vuln/detail/CVE-2024-6618,2025-01-15
CVE-2024-3703,2024-06-26,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,5.5,CloudData,Cloud Database Engine,5.2.0,5.5.0,,False,0.04547,https://nvd.nist.gov/vuln/detail/CVE-2024-3703,2025-01-15
CVE-2026-5887,2026-07-27,Denial of service vulnerability in Web Application Firewall connection pool causes resource exhaustion and service freeze,6.4,SecNet,Web Application Firewall,,,Requires manual verification of active rule engine signatures,False,0.00809,https://nvd.nist.gov/vuln/detail/CVE-2026-5887,2025-01-15
CVE-2024-8683,2024-08-28,Cross-site scripting (XSS) and CSRF in Web Application Firewall web interface allows attacker to hijack authenticated analyst sessions,4.6,SecNet,Web Application Firewall,3.0.0,3.1.0,,False,0.02985,https://nvd.nist.gov/vuln/detail/CVE-2024-8683,2025-01-15
CVE-2025-7278,2025-09-01,Improper certificate validation in Core Banking Framework TLS transport handler allows man-in-the-middle data interception,4.6,FinTech Systems,Core Banking Framework,,,Affects builds prior to patch 4.2.2 unless Q4 security hotfix applied,False,0.00658,https://nvd.nist.gov/vuln/detail/CVE-2025-7278,2025-01-15
CVE-2025-8098,2025-10-02,Denial of service vulnerability in Core Banking Framework connection pool causes resource exhaustion and service freeze,5.0,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.01694,https://nvd.nist.gov/vuln/detail/CVE-2025-8098,2025-01-15
CVE-2024-9110,2024-11-03,Privilege escalation in Identity Provider SaaS daemon allows low-privilege attacker to obtain elevated system administrator permissions,7.5,AuthCorp,Identity Provider SaaS,1.5.0,2.3.0,,False,0.52793,https://nvd.nist.gov/vuln/detail/CVE-2024-9110,2025-01-15
CVE-2026-8158,2026-12-04,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,6.0,CloudData,Cloud Database Engine,5.2.0,5.5.0,,False,0.04603,https://nvd.nist.gov/vuln/detail/CVE-2026-8158,2025-01-15
CVE-2023-7303,2023-01-05,Authentication bypass in Identity Provider SaaS session handling allows unauthenticated attacker to bypass administrative controls,8.4,AuthCorp,Identity Provider SaaS,,,Vendor advisory requires manual verification for custom IdP integrations,False,0.0229,https://nvd.nist.gov/vuln/detail/CVE-2023-7303,2025-01-15
CVE-2025-5869,2025-02-06,Information disclosure in Web Application Firewall API endpoint leaks sensitive cryptographic keys and internal session tokens,5.1,SecNet,Web Application Firewall,3.0.0,3.1.0,,False,0.04578,https://nvd.nist.gov/vuln/detail/CVE-2025-5869,2025-01-15
CVE-2025-4051,2025-03-07,SQL injection flaw in Core Banking Framework backend parser allows unauthorized read and write access to sensitive database tables,7.5,FinTech Systems,Core Banking Framework,4.3.0,4.8.0,,False,0.75121,https://nvd.nist.gov/vuln/detail/CVE-2025-4051,2025-01-15
CVE-2022-2636,2022-04-08,Cross-site scripting (XSS) and CSRF in Enterprise Router OS web interface allows attacker to hijack authenticated analyst sessions,4.9,NetRoute,Enterprise Router OS,10.0,11.9,,False,0.97787,https://nvd.nist.gov/vuln/detail/CVE-2022-2636,2025-01-15
CVE-2024-6892,2024-05-09,Information disclosure in Enterprise Router OS API endpoint leaks sensitive cryptographic keys and internal session tokens,5.9,NetRoute,Enterprise Router OS,9.0,11.5,,False,0.04009,https://nvd.nist.gov/vuln/detail/CVE-2024-6892,2025-01-15
CVE-2026-7873,2026-06-10,Request smuggling and cache poisoning in Web Application Firewall HTTP request pipeline allows session hijacking,5.1,SecNet,Web Application Firewall,3.1.0,3.5.0,,True,0.62101,https://nvd.nist.gov/vuln/detail/CVE-2026-7873,2025-01-15
CVE-2024-4556,2024-07-11,Denial of service vulnerability in Cloud Database Engine connection pool causes resource exhaustion and service freeze,5.8,CloudData,Cloud Database Engine,,,Applies to multi-node cluster deployments; verify engine patch level,False,0.02696,https://nvd.nist.gov/vuln/detail/CVE-2024-4556,2025-01-15
CVE-2023-9815,2023-08-12,Information disclosure in Cloud Database Engine API endpoint leaks sensitive cryptographic keys and internal session tokens,7.0,CloudData,Cloud Database Engine,5.0.0,5.2.0,,False,0.52737,https://nvd.nist.gov/vuln/detail/CVE-2023-9815,2025-01-15
CVE-2025-1854,2025-09-13,Remote code execution in Embedded IoT Gateway allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.0,IoT Systems,Embedded IoT Gateway,1.7.0,1.8.5,,False,0.02781,https://nvd.nist.gov/vuln/detail/CVE-2025-1854,2025-01-15
CVE-2026-8860,2026-10-14,Authentication bypass in Core Banking Framework session handling allows unauthenticated attacker to bypass administrative controls,7.6,FinTech Systems,Core Banking Framework,4.3.0,4.8.0,,False,0.04443,https://nvd.nist.gov/vuln/detail/CVE-2026-8860,2025-01-15
CVE-2023-6791,2023-11-15,Privilege escalation in Cloud Database Engine daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.8,CloudData,Cloud Database Engine,3.0.0,4.9.0,,False,0.04044,https://nvd.nist.gov/vuln/detail/CVE-2023-6791,2025-01-15
CVE-2023-9716,2023-12-16,Request smuggling and cache poisoning in Web Application Firewall HTTP request pipeline allows session hijacking,5.2,SecNet,Web Application Firewall,3.1.0,3.5.0,,False,0.00114,https://nvd.nist.gov/vuln/detail/CVE-2023-9716,2025-01-15
CVE-2026-2191,2026-01-17,Denial of service vulnerability in Enterprise Router OS connection pool causes resource exhaustion and service freeze,5.2,NetRoute,Enterprise Router OS,,,Manual inspection required for BGP routing daemon sub-module,True,0.42338,https://nvd.nist.gov/vuln/detail/CVE-2026-2191,2025-01-15
CVE-2026-7863,2026-02-18,Information disclosure in Core Banking Framework API endpoint leaks sensitive cryptographic keys and internal session tokens,6.5,FinTech Systems,Core Banking Framework,3.5.0,4.2.2,,False,0.01742,https://nvd.nist.gov/vuln/detail/CVE-2026-7863,2025-01-15
CVE-2024-2122,2024-03-19,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,6.2,CloudData,Cloud Database Engine,5.1.0,5.1.5,,True,0.86485,https://nvd.nist.gov/vuln/detail/CVE-2024-2122,2025-01-15
CVE-2022-8114,2022-04-20,Authentication bypass in Web Application Firewall session handling allows unauthenticated attacker to bypass administrative controls,8.6,SecNet,Web Application Firewall,1.0.0,2.9.0,,False,0.01137,https://nvd.nist.gov/vuln/detail/CVE-2022-8114,2025-01-15
CVE-2024-1504,2024-05-21,Remote code execution in Enterprise Router OS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.2,NetRoute,Enterprise Router OS,9.0,11.5,,False,0.04009,https://nvd.nist.gov/vuln/detail/CVE-2024-1504,2025-01-15
CVE-2022-5611,2022-06-22,Cross-site scripting (XSS) and CSRF in Cloud Database Engine web interface allows attacker to hijack authenticated analyst sessions,4.1,CloudData,Cloud Database Engine,5.2.0,5.5.0,,False,0.03186,https://nvd.nist.gov/vuln/detail/CVE-2022-5611,2025-01-15
CVE-2022-3141,2022-07-23,Authentication bypass in Web Application Firewall session handling allows unauthenticated attacker to bypass administrative controls,7.9,SecNet,Web Application Firewall,,,Requires manual verification of active rule engine signatures,False,0.91239,https://nvd.nist.gov/vuln/detail/CVE-2022-3141,2025-01-15
CVE-2024-7287,2024-08-24,Cross-site scripting (XSS) and CSRF in Core Banking Framework web interface allows attacker to hijack authenticated analyst sessions,4.1,FinTech Systems,Core Banking Framework,4.1.0,4.3.0,,False,0.69203,https://nvd.nist.gov/vuln/detail/CVE-2024-7287,2025-01-15
CVE-2023-1995,2023-09-25,Request smuggling and cache poisoning in Enterprise Router OS HTTP request pipeline allows session hijacking,6.4,NetRoute,Enterprise Router OS,12.1,12.3,,False,0.00578,https://nvd.nist.gov/vuln/detail/CVE-2023-1995,2025-01-15
CVE-2025-1775,2025-10-26,Denial of service vulnerability in Enterprise Router OS connection pool causes resource exhaustion and service freeze,5.6,NetRoute,Enterprise Router OS,10.0,11.9,,False,0.03184,https://nvd.nist.gov/vuln/detail/CVE-2025-1775,2025-01-15
CVE-2023-8509,2023-11-27,Information disclosure in Enterprise Router OS API endpoint leaks sensitive cryptographic keys and internal session tokens,6.5,NetRoute,Enterprise Router OS,9.0,11.5,,False,0.00282,https://nvd.nist.gov/vuln/detail/CVE-2023-8509,2025-01-15
CVE-2022-8404,2022-12-28,Cross-site scripting (XSS) and CSRF in Identity Provider SaaS web interface allows attacker to hijack authenticated analyst sessions,4.5,AuthCorp,Identity Provider SaaS,2.6.0,3.0.0,,False,0.86921,https://nvd.nist.gov/vuln/detail/CVE-2022-8404,2025-01-15
CVE-2022-5555,2022-01-01,Authentication bypass in Embedded IoT Gateway session handling allows unauthenticated attacker to bypass administrative controls,8.3,IoT Systems,Embedded IoT Gateway,,,Affects firmware builds without TPM attestation enabled,False,0.02406,https://nvd.nist.gov/vuln/detail/CVE-2022-5555,2025-01-15
CVE-2023-1262,2023-02-02,Cross-site scripting (XSS) and CSRF in Web Application Firewall web interface allows attacker to hijack authenticated analyst sessions,4.8,SecNet,Web Application Firewall,3.0.0,3.1.0,,False,0.02722,https://nvd.nist.gov/vuln/detail/CVE-2023-1262,2025-01-15
CVE-2026-6745,2026-03-03,Improper certificate validation in Embedded IoT Gateway TLS transport handler allows man-in-the-middle data interception,4.3,IoT Systems,Embedded IoT Gateway,1.7.0,1.8.5,,False,0.01705,https://nvd.nist.gov/vuln/detail/CVE-2026-6745,2025-01-15
CVE-2023-2816,2023-04-04,Cross-site scripting (XSS) and CSRF in Cloud Database Engine web interface allows attacker to hijack authenticated analyst sessions,4.6,CloudData,Cloud Database Engine,4.0.0,5.0.0,,True,0.79517,https://nvd.nist.gov/vuln/detail/CVE-2023-2816,2025-01-15
CVE-2025-9002,2025-05-05,Privilege escalation in Core Banking Framework daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.1,FinTech Systems,Core Banking Framework,1.0.0,3.9.0,,False,0.04105,https://nvd.nist.gov/vuln/detail/CVE-2025-9002,2025-01-15
CVE-2025-1728,2025-06-06,SQL injection flaw in Embedded IoT Gateway backend parser allows unauthorized read and write access to sensitive database tables,8.2,IoT Systems,Embedded IoT Gateway,1.9.0,2.2.0,,False,0.01837,https://nvd.nist.gov/vuln/detail/CVE-2025-1728,2025-01-15
CVE-2022-9006,2022-07-07,Remote code execution in Identity Provider SaaS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.5,AuthCorp,Identity Provider SaaS,,,Vendor advisory requires manual verification for custom IdP integrations,False,0.02258,https://nvd.nist.gov/vuln/detail/CVE-2022-9006,2025-01-15
CVE-2023-7396,2023-08-08,Pre-authentication buffer overflow in Web Application Firewall network listener leads to remote code execution,9.7,SecNet,Web Application Firewall,3.0.0,3.1.0,,False,0.03807,https://nvd.nist.gov/vuln/detail/CVE-2023-7396,2025-01-15
CVE-2023-2679,2023-09-09,Remote code execution in Enterprise Router OS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.4,NetRoute,Enterprise Router OS,12.1,12.3,,False,0.00305,https://nvd.nist.gov/vuln/detail/CVE-2023-2679,2025-01-15
CVE-2025-7235,2025-10-10,Authentication bypass in Cloud Database Engine session handling allows unauthenticated attacker to bypass administrative controls,7.5,CloudData,Cloud Database Engine,4.0.0,5.0.0,,False,0.02392,https://nvd.nist.gov/vuln/detail/CVE-2025-7235,2025-01-15
CVE-2025-4141,2025-11-11,Privilege escalation in Core Banking Framework daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.4,FinTech Systems,Core Banking Framework,3.5.0,4.2.2,,False,0.5868,https://nvd.nist.gov/vuln/detail/CVE-2025-4141,2025-01-15
CVE-2025-2291,2025-12-12,Cross-site scripting (XSS) and CSRF in Web Application Firewall web interface allows attacker to hijack authenticated analyst sessions,4.3,SecNet,Web Application Firewall,3.1.0,3.5.0,,False,0.03241,https://nvd.nist.gov/vuln/detail/CVE-2025-2291,2025-01-15
CVE-2024-3558,2024-01-13,Denial of service vulnerability in Identity Provider SaaS connection pool causes resource exhaustion and service freeze,7.4,AuthCorp,Identity Provider SaaS,,,Vendor advisory requires manual verification for custom IdP integrations,False,0.02675,https://nvd.nist.gov/vuln/detail/CVE-2024-3558,2025-01-15
CVE-2026-5465,2026-02-14,Information disclosure in Embedded IoT Gateway API endpoint leaks sensitive cryptographic keys and internal session tokens,7.4,IoT Systems,Embedded IoT Gateway,1.8.0,1.9.0,,False,0.03325,https://nvd.nist.gov/vuln/detail/CVE-2026-5465,2025-01-15
CVE-2023-7303,2023-03-15,Remote code execution in Enterprise Router OS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.3,NetRoute,Enterprise Router OS,12.1,12.3,,False,0.00171,https://nvd.nist.gov/vuln/detail/CVE-2023-7303,2025-01-15
CVE-2025-6919,2025-04-16,Cross-site scripting (XSS) and CSRF in Cloud Database Engine web interface allows attacker to hijack authenticated analyst sessions,4.1,CloudData,Cloud Database Engine,4.0.0,5.0.0,,False,0.04698,https://nvd.nist.gov/vuln/detail/CVE-2025-6919,2025-01-15
CVE-2026-6745,2026-05-17,Remote code execution in Identity Provider SaaS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,10.0,AuthCorp,Identity Provider SaaS,1.5.0,2.3.0,,False,0.0204,https://nvd.nist.gov/vuln/detail/CVE-2026-6745,2025-01-15
